id	title	revenue	vote_count	vote_average	popularity
862	Toy Story	373554033	5415	7.7	21.946943
8844	Jumanji	262797249	2413	6.9	17.015539
15602	Grumpier Old Men	0	92	6.5	11.7129
31357	Waiting to Exhale	81452156	34	6.1	3.859495
11862	Father of the Bride Part II	76578911	173	5.7	8.387519000000001
949	Heat	187436818	1886	7.7	17.924927
11860	Sabrina	0	141	6.2	6.677277
45325	Tom and Huck	0	45	5.4	2.5611610000000002
9091	Sudden Death	64350171	174	5.5	5.23158
710	GoldenEye	352194034	1194	6.6	14.686035999999998
9087	The American President	107879496	199	6.5	6.318445
12110	Dracula: Dead and Loving It	0	210	5.7	5.430331
21032	Balto	11348324	423	7.1	12.140733
10858	Nixon	13681765	72	7.1	5.092
1408	Cutthroat Island	10017322	137	5.7	7.284477000000001
524	Casino	116112375	1343	7.8	10.137389
4584	Sense and Sensibility	135000000	364	7.2	10.673167
5	Four Rooms	4300000	539	6.5	9.026586
9273	Ace Ventura: When Nature Calls	212385533	1128	6.1	8.205447999999999
11517	Money Train	35431113	224	5.4	7.337905999999999
8012	Get Shorty	115101622	305	6.4	12.669608
1710	Copycat	0	199	6.5	10.701801
9691	Assassins	30303072	394	6.0	11.065939
12665	Powder	0	143	6.3	12.133094
451	Leaving Las Vegas	49800000	365	7.1	10.332025
16420	Othello	0	33	7.0	1.8458990000000002
9263	Now and Then	27400000	91	6.6	8.681325
17015	Persuasion	0	36	7.4	2.228434
902	The City of Lost Children	1738611	308	7.6	9.822422999999999
37557	Shanghai Triad	0	17	6.5	1.1009149999999999
9909	Dangerous Minds	180000000	249	6.4	9.481338000000001
63	Twelve Monkeys	168840000	2470	7.4	12.297305
78802	Wings of Courage	0	4	6.8	0.745542
9598	Babe	254134910	756	6.0	14.404764000000002
47018	Carrington	0	16	6.4	1.4933610000000002
687	Dead Man Walking	39363635	350	7.3	6.891317
139405	Across the Sea of Time	0	2	3.5	0.114469
33689	It Takes Two	0	149	6.1	7.777735000000001
9603	Clueless	0	828	6.9	9.882383
34615	Cry, the Beloved Country	676525	13	6.7	0.894647
31174	Richard III	0	50	6.9	4.561387
11443	Dead Presidents	0	80	6.6	9.87957
35196	Restoration	0	30	6.3	10.979269
9312	Mortal Kombat	122195920	452	5.4	10.870138
577	To Die For	21284514	177	6.7	10.448481
11861	How To Make An American Quilt	23574130	38	6.5	4.485958
807	Se7en	327311859	5915	8.1	18.45743
10530	Pocahontas	346079773	1509	6.7	13.280069000000001
8391	When Night Is Falling	0	10	5.9	3.302524
629	The Usual Suspects	23341568	3334	8.1	16.302466
117164	Guardian Angel	0	3	6.3	0.595949
11448	Mighty Aphrodite	6700000	145	6.7	15.899134
49133	Lamerica	0	11	7.7	1.361286
26441	The Big Green	0	41	5.2	5.9827639999999995
97406	Georgia	0	15	6.1	4.093443
124057	Kids of the Round Table	0	1	3.0	0.307075
9089	Home for the Holidays	17519169	39	6.3	8.416802
11010	The Postman	0	181	7.6	10.168436999999999
99040	The Confessional	0	2	6.5	0.12078900000000001
11359	The Indian in the Cupboard	0	136	5.9	10.673296
17182	Eye for an Eye	0	65	5.8	4.733526
2054	Mr. Holland's Opus	106269971	115	6.9	7.137117
10607	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	0	192	6.2	11.700115
19760	Two If by Sea	0	14	4.5	2.174487
9536	Bio-Dome	0	110	4.4	6.387469
11525	Lawnmower Man 2: Beyond Cyberspace	2409225	32	2.8	2.49535
40628	Two Bits	0	11	5.4	4.046208
4482	French Twist	0	43	6.0	2.518051
10634	Friday	28215918	513	7.0	14.56965
755	From Dusk Till Dawn	25836616	1644	6.9	15.339153
11859	Fair Game	11534477	54	4.1	5.912223
28387	Kicking and Screaming	718490	36	7.0	3.3672760000000004
48750	Les Miserables	0	8	6.6	1.4794459999999998
20927	Bed of Roses	19030691	27	5.1	10.412194
36929	Big Bully	2042530	16	3.9	2.936443
9102	Screamers	5781885	154	6.1	12.758848
124626	Nico Icon	0	3	7.3	0.133893
27526	The Crossing Guard	0	74	6.1	5.756462
9623	The Juror	0	91	5.5	6.010579
46785	The White Balloon	0	20	7.5	1.196256
400	Things to Do in Denver When You're Dead	529766	87	6.7	4.486179
880	Antonia's Line	0	26	7.2	2.030174
146599	Once Upon a Time... When We Were Colored	0	2	4.5	0.252287
188588	Last Summer in the Hamptons	0	0	0.0	0.531159
8447	Angels and Insects	0	17	6.3	2.1516599999999997
10534	White Squall	10300000	86	6.3	9.568603999999999
17414	Dunston Checks In	0	59	5.1	4.814825
13997	Black Sheep	32	124	6.0	8.963037
2086	Nick of Time	8175346	190	6.1	6.848591000000001
61548	The Journey of August King	0	3	6.7	0.41142399999999996
